soil_type,rainfall_mm,temperature_c,humidity_percent,crop
Sandy,79.8,32.2,41.5,Cotton
Sandy,102.2,21.9,68.3,Maize
Loamy,212.6,26.6,66.6,Sugarcane
Sandy,104.9,26.6,57.5,Maize
Loamy,227.6,27.8,83.2,Sugarcane
Sandy,100.3,26.7,61.5,Maize
Loamy,66.1,22.6,60.8,Wheat
Loamy,75.2,19.5,66.7,Wheat
Clay,92.6,24.8,60.7,Wheat
Loamy,95.3,21.5,59.3,Maize
Clay,285.8,30.6,71.4,Rice
Black,178.8,33.5,81.3,Sugarcane
Sandy,107.2,28.4,61.6,Maize
Black,88.2,27.2,54.0,Cotton
Clay,247.8,27.4,70.3,Rice
Black,102.0,34.2,59.6,Cotton
Black,154.6,24.5,70.8,Sugarcane
Clay,151.1,29.1,71.2,Rice
Sandy,92.8,25.4,57.8,Maize
Sandy,118.0,28.9,67.3,Maize
Loamy,87.2,16.1,67.7,Wheat
Black,106.4,30.8,58.2,Cotton
Sandy,96.2,28.3,61.1,Maize
Sandy,82.0,22.5,72.0,Maize
Clay,61.3,15.9,54.7,Wheat
Clay,166.8,31.5,83.8,Rice
Loamy,279.6,22.5,83.1,Rice
Black,246.9,28.7,73.2,Sugarcane
Black,236.5,32.2,65.0,Sugarcane
Loamy,90.7,27.9,57.2,Maize
Black,167.9,24.1,75.7,Sugarcane
Loamy,65.1,19.8,61.0,Wheat
Loamy,195.5,27.1,71.5,Sugarcane
Clay,242.9,26.2,81.7,Rice
Clay,68.8,25.0,60.2,Wheat
Black,65.1,32.7,57.0,Cotton
Loamy,97.2,25.8,68.1,Maize
Clay,95.1,23.3,56.2,Wheat
Loamy,90.9,24.9,67.1,Wheat
Loamy,242.8,28.4,79.0,Sugarcane
Black,69.6,32.4,45.5,Cotton
Clay,66.2,24.6,56.7,Wheat
Clay,90.7,18.4,55.9,Wheat
Sandy,80.4,30.4,48.3,Cotton
Clay,68.8,20.9,66.2,Wheat
Loamy,84.0,19.9,52.2,Wheat
Black,99.8,30.7,40.8,Cotton
Sandy,91.8,33.3,54.1,Cotton
Loamy,115.7,28.6,72.7,Maize
Black,102.5,33.2,42.1,Cotton
Clay,83.1,22.0,50.9,Wheat
Loamy,290.2,24.0,84.3,Rice
Sandy,85.3,24.6,65.6,Maize
Sandy,68.8,30.2,53.0,Cotton
Loamy,232.2,28.0,66.5,Sugarcane
Loamy,61.0,17.8,54.5,Wheat
Loamy,214.8,25.5,83.7,Sugarcane
Black,96.0,29.9,55.2,Cotton
Clay,290.8,23.3,72.3,Rice
Black,107.1,28.0,47.8,Cotton
Loamy,197.4,29.5,71.5,Rice
Loamy,186.4,26.7,78.1,Rice
Loamy,213.8,31.5,67.1,Sugarcane
Loamy,78.1,24.5,67.5,Wheat
Clay,159.6,22.2,81.1,Rice
Sandy,99.8,22.4,68.1,Maize
Black,74.7,29.0,44.9,Cotton
Sandy,83.7,30.3,48.5,Cotton
Clay,83.8,19.7,55.0,Wheat
Loamy,90.2,23.6,53.1,Wheat
Loamy,250.0,30.7,70.4,Sugarcane
Sandy,83.2,33.3,51.8,Cotton
Loamy,94.1,25.6,72.5,Maize
Clay,77.5,20.2,52.4,Wheat
Loamy,249.4,25.2,80.3,Sugarcane
Clay,159.1,29.3,86.0,Rice
Loamy,90.2,27.1,55.0,Maize
Sandy,92.3,29.9,55.9,Cotton
Clay,191.8,26.9,80.8,Rice
Black,98.9,26.6,46.2,Cotton
Loamy,82.4,22.2,64.0,Wheat
Sandy,89.0,22.0,55.5,Maize
Loamy,222.2,30.6,88.0,Rice
Black,110.0,28.5,53.0,Cotton
Black,162.4,30.9,79.0,Sugarcane
Black,232.7,24.7,68.3,Sugarcane
Loamy,226.3,25.8,75.4,Sugarcane
Loamy,177.5,26.6,87.5,Rice
Loamy,116.0,22.1,60.0,Maize
Loamy,69.6,20.7,51.6,Wheat
Loamy,75.2,18.6,56.9,Wheat
Sandy,88.8,28.0,68.9,Maize
Loamy,84.6,29.7,58.6,Maize
Loamy,115.3,20.2,69.7,Maize
Loamy,242.4,31.9,77.5,Sugarcane
Black,200.0,28.9,66.6,Sugarcane
Loamy,118.7,22.8,67.8,Maize
Clay,92.3,22.3,60.7,Wheat
Loamy,74.8,17.1,55.3,Wheat
Clay,239.3,28.8,74.7,Rice
Loamy,211.0,31.4,84.0,Sugarcane
Sandy,98.1,28.8,55.0,Cotton
Loamy,92.9,23.1,58.0,Wheat
Clay,257.6,24.0,82.7,Rice
Black,220.7,31.0,74.1,Sugarcane
Black,97.7,34.5,44.0,Cotton
Loamy,165.2,32.1,84.0,Sugarcane
Loamy,159.1,33.6,81.7,Sugarcane
Clay,189.8,23.3,82.9,Rice
Clay,206.8,31.9,75.3,Rice
Sandy,96.6,26.3,58.9,Maize
Clay,216.5,30.6,81.0,Rice
Loamy,181.1,24.1,73.2,Sugarcane
Clay,158.5,27.1,87.0,Rice
Clay,187.3,23.9,79.0,Rice
Loamy,80.9,21.9,61.6,Maize
Clay,89.9,19.3,61.7,Wheat
Clay,262.2,22.6,81.7,Rice
Black,248.1,32.3,70.9,Sugarcane
Black,191.3,25.9,72.2,Sugarcane
Black,92.1,26.4,49.2,Cotton
Clay,81.1,21.1,69.3,Wheat
Sandy,77.6,29.5,46.1,Cotton
Black,212.5,31.6,69.1,Sugarcane
Loamy,87.1,23.9,51.7,Wheat
Clay,289.0,30.5,73.3,Rice
Sandy,72.2,29.6,52.2,Cotton
Black,73.0,28.3,49.1,Cotton
Sandy,70.6,33.0,46.8,Cotton
Loamy,106.4,22.8,68.3,Maize
Sandy,107.1,29.0,67.3,Maize
Sandy,110.6,25.2,67.5,Maize
Sandy,94.0,28.2,72.4,Maize
Clay,163.8,26.2,75.5,Rice
Black,101.6,28.9,55.4,Cotton
Black,200.9,26.7,81.7,Sugarcane
Clay,65.7,16.4,64.9,Wheat
Black,217.0,32.6,71.6,Sugarcane
Clay,261.4,23.6,75.6,Rice
Loamy,119.4,26.1,70.4,Maize
Loamy,84.4,16.7,64.6,Wheat
Sandy,81.5,26.0,61.9,Maize
Black,209.5,32.2,83.4,Sugarcane
Sandy,97.7,26.8,65.2,Maize
